sample-id,input,filtered,denoised,merged,non-chimeric
#q2:types,numeric,numeric,numeric,numeric,numeric
C10,191010,138400,138400,134839,134838
C11,93683,70150,70150,68940,68940
C12,3651,9,9,0,0
C7,138670,114959,114959,111955,111226
C8,15721,316,316,278,278
C9,95730,56661,56661,56457,55948
Fungal_Mock,224448,159902,159902,147783,134689
H2O,4582,31,31,28,28
V4,7672,358,358,358,349
V5,11094,140,140,122,122
V6,18833,6438,6438,6262,6223
V7,85448,62747,62747,62616,62165
V8,87630,68244,68244,64233,63210
V9,102001,81171,81171,81109,81109
,1080173,759526,759526,734980,719125
,,0.70315218,0.70315218,0.680428043,0.665749838
