sample-id,absolute-filepath,direction
C10,/home/absolute/filepath/project_1/C10_S8_L001_R1_001.fastq.gz,forward
C10,/home/absolute/filepath/project_1/C10_S8_L001_R2_001.fastq.gz,reverse
C11,/home/absolute/filepath/project_1/C11_S9_L001_R1_001.fastq.gz,forward
C11,/home/absolute/filepath/project_1/C11_S9_L001_R2_001.fastq.gz,reverse
C12,/home/absolute/filepath/project_1/C12_S10_L001_R1_001.fastq.gz,forward
C12,/home/absolute/filepath/project_1/C12_S10_L001_R2_001.fastq.gz,reverse
C7,/home/absolute/filepath/project_1/C7_S5_L001_R1_001.fastq.gz,forward
C7,/home/absolute/filepath/project_1/C7_S5_L001_R2_001.fastq.gz,reverse
C8,/home/absolute/filepath/project_1/C8_S6_L001_R1_001.fastq.gz,forward
C8,/home/absolute/filepath/project_1/C8_S6_L001_R2_001.fastq.gz,reverse
C9,/home/absolute/filepath/project_1/C9_S7_L001_R1_001.fastq.gz,forward
C9,/home/absolute/filepath/project_1/C9_S7_L001_R2_001.fastq.gz,reverse
Fungal_Mock,/home/absolute/filepath/project_1/Fungal_Mock_S4_L001_R1_001.fastq.gz,forward
Fungal_Mock,/home/absolute/filepath/project_1/Fungal_Mock_S4_L001_R2_001.fastq.gz,reverse
H2O,/home/absolute/filepath/project_1/H2O_S14_L001_R1_001.fastq.gz,forward
H2O,/home/absolute/filepath/project_1/H2O_S14_L001_R2_001.fastq.gz,reverse
V4,/home/absolute/filepath/project_1/V4_S11_L001_R1_001.fastq.gz,forward
V4,/home/absolute/filepath/project_1/V4_S11_L001_R2_001.fastq.gz,reverse
V5,/home/absolute/filepath/project_1/V5_S12_L001_R1_001.fastq.gz,forward
V5,/home/absolute/filepath/project_1/V5_S12_L001_R2_001.fastq.gz,reverse
V6,/home/absolute/filepath/project_1/V6_S13_L001_R1_001.fastq.gz,forward
V6,/home/absolute/filepath/project_1/V6_S13_L001_R2_001.fastq.gz,reverse
V7,/home/absolute/filepath/project_1/V7_S1_L001_R1_001.fastq.gz,forward
V7,/home/absolute/filepath/project_1/V7_S1_L001_R2_001.fastq.gz,reverse
V8,/home/absolute/filepath/project_1/V8_S2_L001_R1_001.fastq.gz,forward
V8,/home/absolute/filepath/project_1/V8_S2_L001_R2_001.fastq.gz,reverse
V9,/home/absolute/filepath/project_1/V9_S3_L001_R1_001.fastq.gz,forward
V9,/home/absolute/filepath/project_1/V9_S3_L001_R2_001.fastq.gz,reverse
